"Site_ID","Y_Northing_UTM","X_Easting_UTM","Elevation_m","Year"
"CID011 BASE",4610502.889,454225.407,1819.596,"2022"
"CID011 1.1 INLET",4610475.595,454225.804,1818.835,"2022"
"CID011 1.2 INLET",4610476.941,454226.09,1819.093,"2022"
"CID011 1.1 OUTLT",4610477.557,454216.403,1818.255,"2022"
"CID011 1.2 OUTLT",4610479.654,454216.913,1818.307,"2022"
"HWR BASE",4605753.518,452795.414,1675.202,"2022"
"HWR 1.1 INLET",4605756.144,452783.916,1675.775,"2022"
"HWR 1.1 OUTLET",4605749.347,452778.638,1678.721,"2022"
"HWR 1.1 INTEST",4605757.439,452783.08,1673.775,"2022"
"HWR 1.1 OUTTST",4605751.076,452778.029,1673.721,"2022"
"CID270 BASE",4630691.029,452186.655,1795.056,"2022"
"CID051 BASE",4631230.954,451786.711,1775.941,"2022"
"CID016 BASE",4650418,456817.262,2323.215,"2022"
"CID018 BASE",4648033.648,456644.303,2181.602,"2022"
"UID87425 IN",4648032.08,456631.583,2180.807,"2022"
"UID87425 OT",4648024.754,456632.715,2180.556,"2022"
"CID327 BASE",4630390.899,458350.917,2441.686,"2022"
"UID3813 IN",4630398.151,458356.768,2439.868,"2022"
"UID3813 OT",4630396.462,458363.588,2425.832,"2022"
"CID306 BASE",4627983.714,461036.611,2222.504,"2022"
"UID35871 IN",4627991.085,461033.691,2220.86,"2022"
"UID35871 OT",4627989.813,461047.667,2220.3,"2022"
"CID315 BASE",4645336.214,455360.237,2086.165,"2022"
"CID315 TEST",4645336.138,455360.422,2087.821,"2022"
"UID398 IN",4645344.221,455400.116,2087.997,"2022"
"UID398 OT",4645355.858,455390.931,2087.501,"2022"
"CID270 BASE2",4630686.949,452186.02,1794.723,"2022"
"UID35535 IN",4630685.64,452194.086,1793.15,"2022"
"UID35535 OT",4630693.124,452200.698,1793.02,"2022"
"CID008 BASE",4623823.087,444097.757,1545.508,"2022"
"UID25699.1 IN",4623816.538,444086.162,1542.084,"2022"
"UID25699.2 IN",4623817.824,444092.177,1542.249,"2022"
"UID25699.1 OT",4623842.39,444051.364,1541.766,"2022"
"UID25699.2 OT",4623843.336,444055.191,1541.634,"2022"
"CID300 BASE",4615949.048,433983.365,1536.041,"2022"
"ID94738 IN",4615934.642,433980.583,1533.811,"2022"
"CID300 BASE2",4615946.866,433982.402,1535.94,"2022"
"UID68601 BASE",4512126.272,509999.76,2901.989,"2022"
"UID68601 IN",4512073.75,510025.106,2899.102,"2022"
"UID68601 OT",4512095.622,510046.706,2895.897,"2022"
"ID60332 BASE",4515172.924,509620.286,2769.498,"2022"
"UID60332.1 IN",4515170.826,509605.835,2768.593,"2022"
"UID60332.2 IN",4515169.377,509605.534,2768.595,"2022"
"UID60332.1 OT",4515169.315,509626.22,2766.594,"2022"
"UID60332.2 OT",4515168.119,509626.027,2766.296,"2022"
"37638",4518373.429,510832.443,2746.962,"2022"
"UID37638 OT",4518364.938,510831.534,2746.079,"2022"
"UID37638 IN",4518370.373,510818.364,2746.557,"2022"
"UID78721 BASE",4520874.563,512815.283,2666.724,"2022"
"UID78721 IN",4520874.894,512797.842,2665.217,"2022"
"UID78721 OT",4520869.075,512819.348,2663.731,"2022"
"UID85617 BASE",4522555.145,510768.542,2775.862,"2022"
"UID85617 IN",4522550.956,510776.265,2772.416,"2022"
"UID85617 OT",4522565.665,510777.7,2772.547,"2022"
"UID72078 BASE",4522314.125,509928.653,2792.34,"2022"
"UID72078 IN",4522319.635,509926.158,2792.348,"2022"
"UID7207 OT",4522328.561,509928.73,2792.136,"2022"
"UID80963 BASE",4523547.243,506186.072,2711.895,"2022"
"UID80963 IN",4523550.793,506181.455,2710.607,"2022"
"UID80963 OT",4523551.301,506196.353,2710.253,"2022"
"UID78183 BASE",4522599.269,510077.265,2791.784,"2022"
"UID78183 IN",4522596.195,510088.907,2791.251,"2022"
"UID78183 OT",4522608,510095.225,2791.081,"2022"
"UID22467 BASE",4529476.142,519385.135,2665.594,"2022"
"UID22467 IN",4529471.656,519384.403,2663.821,"2022"
"UID22467 OT",4529489.969,519384.565,2663.673,"2022"
"UID48473 BASE",4530434.459,520300.71,2649.516,"2022"
"UID48473 IN",4530436.824,520314.776,2643.037,"2022"
"UID48473 OT",4530466.118,520290.78,2640.287,"2022"
"UID97494 BASE",4531154.277,521315.388,2645.407,"2022"
"UID97494 IN",4531149.595,521311.495,2644.357,"2022"
"UID97494 OT",4531171.635,521314.336,2642.74,"2022"
"UID15082",4531210.368,522495.094,2694.134,"2022"
"UID15082 IN",4531207.973,522503.628,2691.242,"2022"
"UID15082 OT",4531213.482,522473.436,2689.322,"2022"
"UID94587 BASE",4531427.472,525668.354,2882.497,"2022"
"UID94587 IN",4531414.563,525659.386,2880.803,"2022"
"UID94587 OT",4531436.564,525665.613,2879.3,"2022"
"UID69971 BASE",4527831.032,521832.025,2802.886,"2022"
"UID69971 IN",4527820.682,521836.742,2801.631,"2022"
"UID69971 OT",4527833.27,521835.86,2801.181,"2022"
"UID63619 BASE",4526782.463,522088.488,2867.531,"2022"
"UID63619 IN",4526780.761,522089.502,2866.156,"2022"
"UID63619 OT",4526782.205,522079.9,2865.851,"2022"
"UID38660 BASE",4544774.626,521536.465,2417.301,"2022"
"UID38660 IN",4544795.055,521579.633,2417.236,"2022"
"UID38660 OT",4544805.321,521572.682,2416.651,"2022"
"UID46329 IN",4544765.539,521515.583,2414.792,"2022"
"UID30774",4547043.518,519648.711,2322.693,"2022"
"UID30774 IN",4547026.029,519660.86,2321.741,"2022"
"UID30774 OT",4547036.841,519671.889,2321.511,"2022"
"UID30110 BASE",4549585.289,515150.349,2231.568,"2022"
"UID30110 OT",4549591.461,515161.502,2229.198,"2022"
"UID30110 IN",4549570.281,515161.022,2229.285,"2022"
"ID16908 BASE",4547869.122,499557.286,2150.586,"2022"
"UID16908 IN",4547858.282,499563.041,2147.343,"2022"
"UID16908 OT",4547876.46,499571.249,2147.281,"2022"
"UID45607 BASE",4562412.325,498800.283,2048.808,"2022"
"UID45607 IN",4562407.452,498772.907,2044.916,"2022"
"UID45607 OT",4562429.759,498773.59,2045.382,"2022"
"UID2140 BASE",4566872.681,499401.864,2028.601,"2022"
"UID2140 IN",4566872.607,499427.074,2024.9,"2022"
"UID2140 OT",4566890.24,499399.629,2024.888,"2022"
"UID40371 BASE",4584453.173,481330.984,1959.422,"2022"
"UID40371 IN",4584431.74,481317.53,1958.127,"2022"
"UID40371 OT",4584430.876,481324.773,1958.211,"2022"
"UID19084 IN",4586999.808,486539.718,1908.383,"2022"
"UID19084 BASE",4586985.562,486562.771,1909.884,"2022"
"UID19084 OT",4587004.99,486544.401,1908.406,"2022"
"UID26405 BASE",4597421.283,488309.327,1900.506,"2022"
"UID26405 IN",4597416.406,488306.728,1898.66,"2022"
"UID26405 OT",4597417.595,488318.903,1898.843,"2022"
"UID2253 BASE",4594734.626,475015.196,2037.158,"2022"
"UID2253 IN",4594749.201,475011.086,2035.497,"2022"
"UID2253 OT",4594735.76,475026.155,2035.031,"2022"
"UID40752 BASE",4594553.237,474464.797,2048.116,"2022"
"UID40752 IN",4594552.757,474440.119,2046.2,"2022"
"UID40752 OT",4594572.455,474447.289,2046.01,"2022"
"UID55938 IN",4592646.969,466009.514,2308.454,"2022"
"UID55938 BASE",4592657.28,466038.067,2310.002,"2022"
"UID55938 OT",4592632.031,466010.879,2308.207,"2022"
"UID29882 BASE",4592589.367,466455.148,2308.414,"2022"
"UID29882.1 IN",4592583.107,466498.734,2306.054,"2022"
"UID29882.2 IN",4592582.09,466498.906,2306.011,"2022"
"UID29882.1 OT",4592584.052,466506.899,2306.003,"2022"
"UID29882.2 OT",4592583.275,466507.206,2306.109,"2022"
"UID73627 BASE",4594583.226,465157.361,2313.179,"2022"
"UID73627 IN",4594560.141,465144.162,2311.582,"2022"
"UID73627 OT",4594561.621,465150.254,2311.517,"2022"
"UID87393 BASE",4595902.167,464882.565,2334.229,"2022"
"UID87393 IN",4595895.722,464870.941,2333.94,"2022"
"UID87393 OT",4595894.977,464877.079,2333.847,"2022"
"UID65842 BASE",4603283.176,473427.879,2007.688,"2022"
"UID65842 IN",4603273.079,473423.259,2006.844,"2022"
"UID65842 OT",4603270.535,473430.229,2006.784,"2022"
"UID8067 BASE",4606359.781,478473.382,1939.469,"2022"
"UID8067 IN",4606370.04,478467.667,1938.61,"2022"
"UID8067 OT",4606370.474,478472.57,1938.706,"2022"
"UID48610 BASE",4608548.912,481896.559,1910.339,"2022"
"UID48610 IN",4608538.717,481886.991,1909.166,"2022"
"UID48610 OT",4608538.778,481899.232,1908.764,"2022"
"UID83616 BASE",4611886.265,477573.489,1981.031,"2022"
"UID83616 IN",4611884.567,477583.545,1980.791,"2022"
"UID83616 OT",4611892.439,477578.736,1980.039,"2022"
"UID50599 BASE",4615166.382,485395.452,1893.318,"2022"
"UID50599 IN",4615165.616,485391.533,1891.575,"2022"
"UID50599 OT",4615178.831,485391.673,1891.482,"2022"
"UID76804 BASE",4610505.918,454227.057,1811.963,"2022"
"UID76804.1 IN",4610474.553,454226.549,1810.893,"2022"
"UID76804.2 IN",4610476.259,454227.086,1811.015,"2022"
"UID76804.1 OT",4610476.986,454217.522,1810.869,"2022"
"UID76804.2 OT",4610478.785,454217.985,1810.878,"2022"
"UID22326 BASE",4605752.714,452795.802,1684.488,"2022"
"UID22326 IN",4605757.77,452783.159,1683.191,"2022"
"UID22326 OT",4605751.541,452778.093,1683.223,"2022"
"UID90906 BASE",4593585.795,451938.447,2021.551,"2022"
"UID90906 IN",4593580.28,451946.574,2021.048,"2022"
"UID90906 OT",4593589.869,451949.068,2020.655,"2022"
"UID74217 BASE",4592454.691,451372.835,2047.343,"2022"
"UID74217 IN",4592446.028,451377.597,2046.505,"2022"
"UID74217 OT",4592461.471,451360.439,2045.388,"2022"
"UID57622 BASE",4617282.349,448915.811,1908.863,"2022"
"UID57622 IN",4617257.635,448920.184,1908.011,"2022"
"UID57622 OT",4617255.216,448915.782,1908.068,"2022"
"UID20025 BASE",4596519.103,436077.512,1560.629,"2022"
"UID20025.1 IN",4596509.471,436034.011,1559.044,"2022"
"UID20025.2 IN",4596509.757,436036.452,1559.053,"2022"
"UID20025.1 OT",4596519.598,436032.629,1558.9,"2022"
"UID20025.2 OT",4596519.878,436034.899,1558.904,"2022"
"UID20447 IN",4586538.873,430221.459,1779.33,"2022"
"UID20447 BASE",4586542.711,430232.815,1780.711,"2022"
"UID20447 OT",4586542.89,430236.34,1779.128,"2022"
"UID60631 BASE",4584977.813,429345.768,1878.371,"2022"
"UID60631 IN",4584975.435,429343.87,1877.551,"2022"
"UID60631 OT",4584985.78,429350.719,1877.182,"2022"
"UID74142 BASE",4603390.242,433183.285,1576.243,"2022"
"UID74142 IN",4603394.348,433194.751,1575.686,"2022"
"UID74142 OT",4603378.59,433172.66,1575.227,"2022"
"UID89223 BASE",4610364.11,441158.278,1552.522,"2022"
"UID89223 IN",4610368.212,441155.058,1545.211,"2022"
"UID89223 OT",4610364.632,441168.828,1545.037,"2022"
"UID74460 BASE",4607234.512,422523.819,1413.86,"2022"
"UID74460 IN",4607228.551,422526.772,1406.405,"2022"
"UID74460 OT",4607228.572,422533.601,1406.603,"2022"
"UID48946 IN",4609236.469,422372.949,1358.051,"2022"
"UID48946 BASE",4609252.913,422385.468,1361.324,"2022"
"UID48946 OT",4609237.516,422387.943,1357.976,"2022"
"UID44978 BASE",4616082.499,422217.269,1330.593,"2022"
"UID44978 IN",4616074.056,422235.349,1329.038,"2022"
"UID44978 OT",4616083.112,422236.504,1329.123,"2022"
"UID17126 BASE",4616660.57,421984.302,1330.265,"2022"
"UID17126 IN",4616672.431,421975.836,1327.123,"2022"
"UID17126 OT",4616670.817,421970.25,1328.692,"2022"
"UID89148 BASE",4638090.884,449549.222,2273.717,"2022"
"UID89148 IN",4638089.837,449543.822,2271.874,"2022"
"UID89148 OT",4638092.393,449561.393,2269.99,"2022"
"UID59290 BASE",4634837.934,451188.584,1928.306,"2022"
"UID59290 IN",4634830.389,451189.484,1927.635,"2022"
"UID59290 OT",4634834.484,451197.898,1926.776,"2022"
"UID22485 BASE",4622710.388,434336.147,1461.967,"2022"
"UID22485 IN",4622724.747,434344.401,1460.192,"2022"
"UID22485 OT",4622703.6,434330.799,1460.167,"2022"
"UID3557 BASE",4624312.334,435172.083,1514.467,"2022"
"UID3557 IN",4624275.951,435176.456,1512.903,"2022"
"UID3557 OT",4624277.767,435164.169,1512.366,"2022"
"UID34537",4646689.373,455927.817,2129.758,"2022"
"UID34537 IN",4646676.12,455930.455,2127.558,"2022"
"UID34537 OT",4646669.68,455913.372,2127.303,"2022"
"TEST BASE",4621349.955,432461.993,1437.433,"2023"
"TEST 01",4621328.702,432415.582,1437.364,"2023"
"TEST 02",4621350.741,432415.747,1437.407,"2023"
"UID22118 BASE",4616653.238,421983.826,1329.86,"2023"
"UID22118 IN",4616674.206,421974.027,1329.336,"2023"
"UID22118 OT",4616672.642,421970.045,1328.513,"2023"
"UID50908 B",4650419.199,456823.009,2331.899,"2023"
"UID50908 IN",4650421.571,456819.096,2331.186,"2023"
"UID50908 OT",4650415.949,456822.626,2330.75,"2023"
"ID43354 B",4649660.343,456915.493,2274.945,"2023"
"UID43354 IN",4649652.802,456917.493,2273.6,"2023"
"UID43354 OT",4649653.767,456910.305,2273.455,"2023"
"UID74040 IN",4519614.135,505306.693,2850.59,"2023"
"UID74040 B",4519621.149,505305.893,2852.243,"2023"
"UID74040 OT",4519625.153,505317.955,2850.53,"2023"
"UID52745 B",4547628.286,507560.775,2230.855,"2023"
"UID52745 IN",4547631.109,507563.411,2229.575,"2023"
"UID52745 OT",4547630.248,507551.127,2229.435,"2023"
"UID97206 B",4596474.33,486162.401,1922.995,"2023"
"UID91206 IN RL",4596477.487,486152.604,1921.181,"2023"
"UID91206 IN RR",4596473.622,486153.159,1921.577,"2023"
"UID91206 OT RL",4596478.295,486164.654,1920.193,"2023"
"UID91206 OT RR",4596474.327,486165.274,1921.48,"2023"
"UID49683 B",4596949.078,487054.162,1914.823,"2023"
"UID49683 B2",4596948.199,487056.332,1914.798,"2023"
"UID69683 B2",4596948.2,487056.332,1914.796,"2023"
"UID49683 IN",4596939.32,487019.972,1913.433,"2023"
"UID49683 OT",4596948.416,487020.651,1913.259,"2023"
"UID34974 B",4593459.602,478262.649,1994.09,"2023"
"UID34974 IN",4593459.685,478255.005,1991.59,"2023"
"UID34974 OT",4593464.027,478263.204,1991.497,"2023"
"UID94738 IN",4615933.774,433980.642,1545.885,"2023"
"UID94738 B",4615933.805,433986.572,1546.755,"2023"
"UID94739 IN",4615944.551,433969.172,1544.957,"2023"
"UID3813 B",4630407.526,458362.824,2445.651,"2023"
"UID3813 IN",4630401.696,458354.752,2444.349,"2023"
"UID3813 OT",4630392.125,458361.152,2443.836,"2023"
